words,coef
모르,-1.9635424231709508
안,-1.94628768446363
아쉽,-1.7382288406569635
별로,-1.6851295209118893
그냥,-1.5990351381253867
맞,-1.4503641235353182
좀,-1.3568954030279543
기대,-0.9904525423096042
건지,-0.9447073131796538
하,-0.8360644929053092
따갑,-0.8300812885216516
생각,-0.7403572505601806
광고,-0.6916211937512013
같,-0.6812916706396268
효과,-0.6678433540556841
걸,-0.6663341936287097
딱히,-0.6290645442489461
지성,-0.6223842710388731
솔직히,-0.6049205109382974
나쁘,-0.5807448222183483
그러,-0.5639274648196295
느끼,-0.5452353683342469
올라오,-0.5441097656866433
약간,-0.5082837033949428
느낌,-0.4966335537043994
기름,-0.4874957181784148
괜찮,-0.4638105045575726
시간,-0.45337557178552557
부족,-0.4507772317377591
개인,-0.44836109037557936
지나,-0.4443525010360916
눈,-0.44030637155193303
건성,-0.40001503810157724
조금,-0.3909918648812056
물,-0.3783594552061231
좁쌀,-0.3727954768589415
부분,-0.3629011017420656
비하,-0.3596274130071625
참고,-0.35587255284925473
못,-0.3439431299631875
절대,-0.33348779438141263
장점,-0.331340139180247
얼굴,-0.32354197664119405
후기,-0.3223991776481239
겉돌,-0.3111704578226455
배송,-0.2996985691012198
유분기,-0.2964454323256538
어떻,-0.2961508906287311
나,-0.27875059141997205
자체,-0.270967160090806
아직,-0.26670016128225166
감,-0.2606213619653189
사,-0.2598562332772494
심하,-0.25616259673752606
처음,-0.2532299042336389
다시,-0.25253871283093027
정도,-0.24843410664375964
다르,-0.2394649885147953
밀리,-0.23560883280559264
성분,-0.2269754976459476
상태,-0.22534068878510263
보통,-0.22320880338597837
열,-0.21149695866744647
유분,-0.20316936872649816
막,-0.20091073954459235
사람,-0.19871728245927092
원하,-0.18846743361516619
겉,-0.18615860098744594
뒤집,-0.18597911795912594
보,-0.18466636162575728
떨어지,-0.17941720549087598
불편,-0.17787871117299137
해보,-0.1761654791152751
상품,-0.16719469588570174
일단,-0.16436005872644358
오일,-0.16316658887101523
생기,-0.16259697917384927
일반,-0.15548001904078185
일,-0.15195687884736034
비싸,-0.151911829284493
단점,-0.1440119649549316
매장,-0.1407065350607205
빼,-0.13335942276946006
이,-0.1321424948358027
목,-0.12382427298669146
부위,-0.12086178460091343
기분,-0.11751063939254858
악건성,-0.11637560995571042
강하,-0.11580349656830824
이유,-0.1151134618684345
전체,-0.11478049835628892
없,-0.11236863646585299
수부지,-0.11194759564438046
기능,-0.11117307163236056
구입,-0.10418454598203923
바르,-0.10212494493265367
확,-0.10055711321389359
원래,-0.09883969558113241
잘못,-0.09676995168078428
그렇,-0.0966762664536942
오늘,-0.09463786631130587
자연,-0.0938515853236919
워낙,-0.09264833353052178
많,-0.09204463059552212
엄청,-0.0901598708832631
가히,-0.08619541166620757
크,-0.08307990837087821
손,-0.08126706501299248
단독,-0.08044644130085143
싸,-0.07405025567169503
이상,-0.07307568325207904
도,-0.06862195398012615
덧바르,-0.06675881471978654
뉴,-0.06483235724377619
어렵,-0.06061668673084641
이렇,-0.06032809111326158
보이,-0.05891738123730621
가깝,-0.05720204086890312
지,-0.05565943560000588
왜,-0.045259190816601916
향,-0.0429868968622955
살짝,-0.03347601144787485
살,-0.018405478335616995
위,-0.01698326947508679
땡기,-0.01685132883848818
복합성,-0.01665082948442656
극건성,-0.016091955547118186
치,-0.016079159955519586
기존,-0.01259154776260994
민감성,-0.012373537522503303
주문,-0.010540389874371524
소량,-0.008929623893686145
갑자기,-0.0072530419673383605
싫,-0.005491410946180397
놀라,-0.0012969500175280908
거의,0.0
도움,0.0
드리,0.0
묽,0.0
위생,0.0
위하,0.0
충분히,0.0
크림,0.0
가격,0.0
가성비,0.0
가지,0.0
면,0.0
섞,0.0
올리,0.0
화장품,0.0
개선,0.0
곳,0.0
과,0.0
일어나,0.0
기름기,0.0
남,0.0
말,0.0
우선,0.0
