product_name,sooth,moisture,cost,wrinkle,oil,whiten
[증량]닥터지 레드 블레미쉬 클리어 수딩크림 기획 (본품70ml+30ml 추가 증정) ,47.31,29.03,11.83,1.08,10.22,0.54
에스트라 아토베리어365 크림 80ml 짝꿍기획 (+하이드로에센스 40ml 증정),25.25,50.51,6.0600000000000005,2.02,16.16,0.0
[단독][1+1] 크리니크 쏙보습크림 50ml 1+1 기획세트 (+애슝 스티커 증정),14.29,57.14,0.0,14.29,0.0,14.29
"라로슈포제 시카플라스트 밤B5 100ml 기획(+시카 세럼 10ml,에빠끌라폼15ml)",49.519999999999996,22.6,11.06,0.0,12.5,4.33
[오원Pick] 닥터자르트 시카페어 크림(50ml+25ml)  한정세트,42.57,16.830000000000002,21.78,5.94,5.94,6.93
[단독최대용량]밀크터치 서양송악 진정 크림 스페셜세트 (50ml+30ml),27.27,27.27,18.18,0.0,27.27,0.0
[단독기획] 라운드랩 자작나무 수분크림 더블기획 (80ml+80ml),31.71,34.150000000000006,12.2,0.0,21.95,0.0
[특별기획]프리메라 알파인 베리 워터리 크림 50ml(+크림25ml+필링15ml+에센스30ml),46.150000000000006,42.309999999999995,0.0,0.0,11.540000000000001,0.0
피지오겔 DMT 데일리보습 페이셜 크림 민낯보습 기획(150ml+30ml),14.44,62.029999999999994,12.83,1.0699999999999998,9.09,0.53
가히 멀티밤 & 멀티밤 듀오,6.859999999999999,12.8,19.97,55.34,2.59,2.44
브링그린 티트리 시카 수딩 크림 더블 기획 (100ml+100ml),45.519999999999996,17.16,20.150000000000002,0.0,15.67,1.49
[디렉터파이 Pick] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),37.5,28.57,16.07,0.0,16.07,1.79
[단독][1+1] 크리니크 핑크리치크림 50ml 1+1 기획세트 (+애슝 스티커 증정),0.0,0.0,50.0,0.0,0.0,50.0
에스트라 아토베리어365 하이드로 수딩크림 60ml 기획 (+30ml 미니어처 증정),33.33,28.4,27.16,0.0,11.110000000000001,0.0
[한나네PICK] 리얼베리어 인텐스 모이스처 크림 1+1 기획(50ml+50ml+토너50ml),6.25,50.0,6.25,0.0,37.5,0.0
리얼베리어 익스트림 크림 2+1기획 (50ml+50ml+폼50ml),20.18,64.22,10.09,0.0,5.5,0.0
바이오힐보 판테놀시카 블레미쉬크림 TOP기획 (본품75ml+30ml+5ml),34.78,43.480000000000004,7.61,1.09,11.959999999999999,1.09
바이오힐보 비타민 히알루로닉 젤크림 더블기획(70ml x 2),14.29,16.669999999999998,14.29,4.760000000000001,11.899999999999999,38.1
피지오겔 레드수딩 AI 진정보습 크림 (본품100ml+10mlx2 추가 증정),30.69,47.03,4.46,1.9800000000000002,13.86,1.9800000000000002
가히 김고은 멀티밤,8.33,12.959999999999999,14.35,58.330000000000005,4.17,1.8499999999999999
라운드랩 자작나무 수분크림 (본품80ml+20ml 추가 증정),47.370000000000005,17.54,10.530000000000001,3.51,15.790000000000001,5.26
아벤느 시칼파트 플러스 크림 1+1기획 (100ml+100ml),54.05,21.62,2.7,10.81,5.41,5.41
[단독기획] 아비브 부활초 크림 뉴트리션 튜브 75ml 기획 (부활초 크림 30ml 증정),14.29,57.14,5.71,5.71,14.29,2.86
에스트라 에이시카365 수분 진정 크림 60ml 기획(세럼5ml+크림10ml),10.0,50.0,0.0,0.0,40.0,0.0
가히 멀티밤&엑스틴 C밤 기획,0.0,40.0,20.0,40.0,0.0,0.0
피지오겔 레드수딩 시카밸런스 크림50ml 기획(토너15ml+손거울 증정),33.33,40.739999999999995,7.41,0.0,18.52,0.0
바이오힐보 프로바이오덤 리프팅 크림 더블x마사지볼 기획 (50ml+50ml+마사지볼),18.01,13.66,14.91,39.129999999999995,9.32,4.97
[단독기획] 구달 청귤 비타C 잡티케어 크림 75ml 기획 (+크림 10mlx2ea 증정),7.6899999999999995,15.379999999999999,6.15,1.54,6.15,63.080000000000005
[아랑 Pick] 마몽드 바쿠치올 레티놀 크림 기획 60ml+30ml,10.71,32.14,14.29,32.14,0.0,10.71
마몽드 블루 캐모마일 크림 60ml+30ml,41.18,31.369999999999997,9.8,1.96,11.76,3.92
브링그린 사철쑥 카밍 수분 크림 1+1기획 (75ml+75ml),33.94,28.439999999999998,24.77,0.9199999999999999,11.93,0.0
밀크터치 서양송악 진정크림 50ml,20.0,60.0,20.0,0.0,0.0,0.0
라운드랩 약콩 영양 크림 (본품 80ml+20ml 추가 증정),16.669999999999998,44.440000000000005,7.41,11.110000000000001,20.369999999999997,0.0
