product_name,moisture,care,cost,func,sooth,whiten
[증량]닥터지 레드 블레미쉬 클리어 수딩크림 기획 (본품70ml+30ml 추가 증정) ,29.549999999999997,14.77,18.18,2.27,34.089999999999996,1.1400000000000001
에스트라 아토베리어365 크림 80ml 짝꿍기획 (+하이드로에센스 40ml 증정),48.78,31.71,9.76,0.0,9.76,0.0
"라로슈포제 시카플라스트 밤B5 100ml 기획(+시카 세럼 10ml,에빠끌라폼15ml)",25.580000000000002,19.77,12.790000000000001,0.0,34.88,6.98
[오원Pick] 닥터자르트 시카페어 크림(50ml+25ml)  한정세트,17.5,20.0,17.5,2.5,35.0,7.5
[단독최대용량]밀크터치 서양송악 진정 크림 스페셜세트 (50ml+30ml),50.0,33.33,8.33,0.0,8.33,0.0
[단독기획] 라운드랩 자작나무 수분크림 더블기획 (80ml+80ml),45.16,19.35,12.9,3.2300000000000004,16.13,3.2300000000000004
[특별기획]프리메라 알파인 베리 워터리 크림 50ml(+크림25ml+필링15ml+에센스30ml),57.14,28.57,0.0,4.760000000000001,4.760000000000001,4.760000000000001
피지오겔 DMT 데일리보습 페이셜 크림 민낯보습 기획(150ml+30ml),18.37,48.980000000000004,16.33,0.0,16.33,0.0
가히 멀티밤 & 멀티밤 듀오,5.06,4.05,18.990000000000002,67.85,2.2800000000000002,1.77
브링그린 티트리 시카 수딩 크림 더블 기획 (100ml+100ml),20.0,12.31,16.919999999999998,0.0,47.69,3.08
[디렉터파이 Pick] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),69.23,15.379999999999999,7.6899999999999995,7.6899999999999995,0.0,0.0
[단독][1+1] 크리니크 핑크리치크림 50ml 1+1 기획세트 (+애슝 스티커 증정),0.0,100.0,0.0,0.0,0.0,0.0
에스트라 아토베리어365 하이드로 수딩크림 60ml 기획 (+30ml 미니어처 증정),62.11,13.68,13.68,0.0,9.47,1.05
[한나네PICK] 리얼베리어 인텐스 모이스처 크림 1+1 기획(50ml+50ml+토너50ml),76.92,15.379999999999999,0.0,0.0,7.6899999999999995,0.0
리얼베리어 익스트림 크림 2+1기획 (50ml+50ml+폼50ml),40.0,25.45,16.36,0.0,18.18,0.0
바이오힐보 판테놀시카 블레미쉬크림 TOP기획 (본품75ml+30ml+5ml),36.730000000000004,24.490000000000002,12.24,0.0,24.490000000000002,2.04
바이오힐보 비타민 히알루로닉 젤크림 더블기획(70ml x 2),19.05,28.57,4.760000000000001,4.760000000000001,4.760000000000001,38.1
피지오겔 레드수딩 AI 진정보습 크림 (본품100ml+10mlx2 추가 증정),31.480000000000004,20.369999999999997,20.369999999999997,0.0,27.779999999999998,0.0
가히 김고은 멀티밤,8.49,7.55,13.209999999999999,69.81,0.0,0.9400000000000001
라운드랩 자작나무 수분크림 (본품80ml+20ml 추가 증정),67.5,10.0,10.0,2.5,10.0,0.0
아벤느 시칼파트 플러스 크림 1+1기획 (100ml+100ml),24.240000000000002,39.39,0.0,0.0,36.36,0.0
[단독기획] 아비브 부활초 크림 뉴트리션 튜브 75ml 기획 (부활초 크림 30ml 증정),42.86,28.57,21.43,0.0,7.140000000000001,0.0
피지오겔 레드수딩 시카밸런스 크림50ml 기획(토너15ml+손거울 증정),36.36,9.09,9.09,0.0,45.45,0.0
바이오힐보 프로바이오덤 리프팅 크림 더블x마사지볼 기획 (50ml+50ml+마사지볼),10.43,30.43,20.0,33.040000000000006,5.220000000000001,0.8699999999999999
[단독기획] 구달 청귤 비타C 잡티케어 크림 75ml 기획 (+크림 10mlx2ea 증정),24.490000000000002,12.24,0.0,2.04,2.04,59.18
[아랑 Pick] 마몽드 바쿠치올 레티놀 크림 기획 60ml+30ml,25.0,25.0,25.0,16.669999999999998,0.0,8.33
마몽드 블루 캐모마일 크림 60ml+30ml,65.38000000000001,23.080000000000002,3.85,0.0,7.6899999999999995,0.0
브링그린 사철쑥 카밍 수분 크림 1+1기획 (75ml+75ml),43.08,15.379999999999999,26.150000000000002,0.0,13.850000000000001,1.54
밀크터치 서양송악 진정크림 50ml,6.67,26.669999999999998,6.67,13.33,33.33,13.33
라운드랩 약콩 영양 크림 (본품 80ml+20ml 추가 증정),12.0,40.0,8.0,28.000000000000004,12.0,0.0
닥터자르트 세라마이딘 울트라 모이스처 크림 50ml,29.630000000000003,27.779999999999998,29.630000000000003,5.56,7.41,0.0
바이오더마 시카비오 포마드 100ml ,16.869999999999997,56.63,9.64,1.2,15.659999999999998,0.0
[오원Pick] 닥터자르트 시카페어 카밍 젤 크림 80ml (토너 31ml 증정),17.65,5.88,26.47,14.71,20.59,14.71
[한정기획]라네즈 워터뱅크 블루히알루로닉 크림45mL_중건성(NOVO텀블러+크림 25mL증정),37.04,14.81,46.300000000000004,1.8499999999999999,0.0,0.0
닥터지 더모이스처 배리어 D 인텐스 크림 100ml (토너 30ml 증정),32.56,41.86,13.950000000000001,2.33,9.3,0.0
[한정기획]라네즈 래디언씨 크림 30mL 기획 (+20ml),0.0,24.0,12.0,0.0,4.0,60.0
