product_name,sooth,moisture,cost,func
[증량]닥터지 레드 블레미쉬 클리어 수딩크림 기획 (본품70ml+30ml 추가 증정) ,44.74,32.89,22.37,0.0
에스트라 아토베리어365 크림 80ml 짝꿍기획 (+하이드로에센스 40ml 증정),31.580000000000002,68.42,0.0,0.0
[단독][1+1] 크리니크 쏙보습크림 50ml 1+1 기획세트 (+애슝 스티커 증정),0.0,100.0,0.0,0.0
"라로슈포제 시카플라스트 밤B5 100ml 기획(+시카 세럼 10ml,에빠끌라폼15ml)",80.49,2.44,17.07,0.0
[오원Pick] 닥터자르트 시카페어 크림(50ml+25ml)  한정세트,39.129999999999995,17.39,43.480000000000004,0.0
[단독최대용량]밀크터치 서양송악 진정 크림 스페셜세트 (50ml+30ml),75.0,12.5,12.5,0.0
[단독기획] 라운드랩 자작나무 수분크림 더블기획 (80ml+80ml),29.849999999999998,64.18,5.970000000000001,0.0
[특별기획]프리메라 알파인 베리 워터리 크림 50ml(+크림25ml+필링15ml+에센스30ml),50.0,50.0,0.0,0.0
피지오겔 DMT 데일리보습 페이셜 크림 민낯보습 기획(150ml+30ml),42.86,35.709999999999994,21.43,0.0
가히 멀티밤 & 멀티밤 듀오,14.91,4.390000000000001,15.790000000000001,64.91
브링그린 티트리 시카 수딩 크림 더블 기획 (100ml+100ml),48.65,24.32,27.029999999999998,0.0
[디렉터파이 Pick] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),20.0,46.67,33.33,0.0
에스트라 아토베리어365 하이드로 수딩크림 60ml 기획 (+30ml 미니어처 증정),32.26,48.39,16.13,3.2300000000000004
[한나네PICK] 리얼베리어 인텐스 모이스처 크림 1+1 기획(50ml+50ml+토너50ml),9.09,81.82000000000001,9.09,0.0
리얼베리어 익스트림 크림 2+1기획 (50ml+50ml+폼50ml),37.21,34.88,27.91,0.0
바이오힐보 판테놀시카 블레미쉬크림 TOP기획 (본품75ml+30ml+5ml),38.98,35.589999999999996,23.73,1.69
바이오힐보 비타민 히알루로닉 젤크림 더블기획(70ml x 2),33.33,29.17,8.33,29.17
피지오겔 레드수딩 AI 진정보습 크림 (본품100ml+10mlx2 추가 증정),59.089999999999996,27.27,13.639999999999999,0.0
가히 김고은 멀티밤,0.0,4.55,9.09,86.36
라운드랩 자작나무 수분크림 (본품80ml+20ml 추가 증정),17.24,75.86,6.9,0.0
아벤느 시칼파트 플러스 크림 1+1기획 (100ml+100ml),66.67,25.0,8.33,0.0
[단독기획] 아비브 부활초 크림 뉴트리션 튜브 75ml 기획 (부활초 크림 30ml 증정),0.0,66.67,33.33,0.0
피지오겔 레드수딩 시카밸런스 크림50ml 기획(토너15ml+손거울 증정),66.67,33.33,0.0,0.0
바이오힐보 프로바이오덤 리프팅 크림 더블x마사지볼 기획 (50ml+50ml+마사지볼),23.91,10.870000000000001,15.22,50.0
[단독기획] 구달 청귤 비타C 잡티케어 크림 75ml 기획 (+크림 10mlx2ea 증정),33.33,50.0,16.669999999999998,0.0
[아랑 Pick] 마몽드 바쿠치올 레티놀 크림 기획 60ml+30ml,23.080000000000002,15.379999999999999,23.080000000000002,38.46
마몽드 블루 캐모마일 크림 60ml+30ml,57.89,31.580000000000002,5.26,5.26
브링그린 사철쑥 카밍 수분 크림 1+1기획 (75ml+75ml),37.5,38.89,22.220000000000002,1.39
밀크터치 서양송악 진정크림 50ml,100.0,0.0,0.0,0.0
라운드랩 약콩 영양 크림 (본품 80ml+20ml 추가 증정),50.0,25.0,25.0,0.0
닥터자르트 세라마이딘 울트라 모이스처 크림 50ml,0.0,37.5,37.5,25.0
바이오더마 시카비오 포마드 100ml ,41.18,41.18,17.65,0.0
[오원Pick] 닥터자르트 시카페어 카밍 젤 크림 80ml (토너 31ml 증정),37.93,27.589999999999996,34.48,0.0
[한정기획]라네즈 워터뱅크 블루히알루로닉 크림45mL_중건성(NOVO텀블러+크림 25mL증정),30.769999999999996,53.849999999999994,15.379999999999999,0.0
